ACCTG_YR,ACCTG_WK,DTR_DATE,SHIPDATE,STORE_NUM,SUPPLIER_NAME,ORDER_NUM,SKU,PART_NUM,SRC_SELL,STR_SELL,SRC_COST,QUANTITY,BATCH_NUM,IM_SUB_NUMBER,IM_SUB_ITEMNUMBER,SUBCOST,SUBSELLPRICE,DTR_PART_KEY,SUB_PART_KEY,ITM_QTY,GL_QTY_VS_DTR_QTY,CST_AMT_TXT,GL_COST_VS_DTR_COST,SELL_AMT_TXT,GL_SELL_VS_DTR_SELL,KEY,TRACKINGNUMBER,ORD_NO,SHIPPED_QTY,PRONUMBER,KEY2,UPS_BILLING_KEY,EXTENDED_COST,DELIVERY_DT1,DISPOSITION,RECEIVED_QTY
2020,47,2020-12-25,2020-12-24,08220,Royersford,7723066T,026401DC93-00634A,DC93-00634A,45.85,45.85,22.21,1,5,,,,,7723066T_026401DC93-00634A,,1,0,22.21,0,45.85,0,08220-7723066T-026401DC93-00634A-1,1ZA356X70376116664,80670171,1,,8976-80670171-026401DC93-00634A-1,008220-098-07723066T,22.21,,RI,1
2020,29,2020-08-17,2020-08-16,08555,Royersford,7613080T,026110661570V,661570V,18.90,18.90,5.85,1,5,,,,,7613080T_026110661570V,,1,0,5.85,0,18.9,0,08555-7613080T-026110661570V-1,1ZA356X70370905429,78991204,1,,8976-78991204-026110661570V-1,008555-098-07613080T,5.85,,RI,1
2020,42,2020-11-18,2020-11-17,07084,Royersford,7703056T,022364WB27X10928,WB27X10928,6.63,6.63,2.61,1,5,,,,,7703056T_022364WB27X10928,,1,0,2.61,0,6.63,0,07084-7703056T-022364WB27X10928-1,1ZA356X70374688729,80339456,1,,8976-80339456-022364WB27X10928-1,007084-098-07703056T,2.61,,RI,1
2020,26,2020-07-27,2020-07-25,07323,Royersford,7564539T,022402DD63-00072A,DD63-00072A,2.96,2.96,1.49,1,5,,,,,7564539T_022402DD63-00072A,,1,0,1.49,0,2.96,0,07323-7564539T-022402DD63-00072A-1,1ZA356X70369992089,78419690,1,,8976-78419690-022402DD63-00072A-1,007323-098-07564539T,1.49,,RI,1
2021,18,2021-06-03,2021-06-02,08158,HI,7854827T,046795EAU59551204,EAU59551204,35.65,35.65,13.55,1,7,,,,,7854827T_046795EAU59551204,,1,0,13.55,0,35.65,0,08158-7854827T-046795EAU59551204-1,1Z6W74600100156640,82956630,1,,8958-82956630-046795EAU59551204-1,008158-098-07854827T,13.55,,RI,1
2021,5,2021-03-05,2021-03-04,07108,Royersford,7789166T,022665W10751502,W10751502,131.54,131.54,52.56,1,5,,,,,7789166T_022665W10751502,,1,0,52.56,0,131.54,0,07108-7789166T-022665W10751502-1,1ZA356X70379308246,81776810,1,,8976-81776810-022665W10751502-1,007108-098-07789166T,52.56,,RI,1
2020,39,2020-10-27,2020-10-26,08555,Royersford,7679869T,0226285303935066,5303935066,63.00,63.00,14.30,1,5,,,,,7679869T_0226285303935066,,1,0,14.3,0,63,0,08555-7679869T-0226285303935066-1,1ZA356X70373719125,79995654,1,,8976-79995654-0226285303935066-1,008555-098-07679869T,14.30,,RI,3
2020,51,2021-01-20,2021-01-19,04766,Royersford,7743165T,0261103360629R,3360629R,139.88,139.88,66.64,1,5,,,,,7743165T_0261103360629R,,1,0,66.64,0,139.88,0,04766-7743165T-0261103360629R-1,1ZA356X70377167885,81042606,1,,8976-81042606-0261103360629R-1,004766-098-07743165T,66.64,,RI,1
2020,52,2021-01-28,2021-01-27,07084,Royersford,7758089T,046795ADL73981017,ADL73981017,166.98,166.98,71.42,1,5,,,,,7758089T_046795ADL73981017,,1,0,71.42,0,166.98,0,07084-7758089T-046795ADL73981017-1,1ZA356X70377537501,81277328,1,,8976-81277328-046795ADL73981017-1,007084-098-07758089T,71.42,,RI,1
2021,26,2021-07-26,2021-07-24,08147,Royersford,7896531T,026110W10836692,W10836692,63.70,63.70,23.66,1,5,,,,,7896531T_026110W10836692,,1,0,23.66,0,63.7,0,08147-7896531T-026110W10836692-1,1ZA356X70346176003,83536917,1,,8976-83536917-026110W10836692-1,008147-098-07896531T,23.66,,RI,1
2021,13,2021-04-29,2021-04-28,08035,Royersford,7803669T,046795EBR78940612,EBR78940612,260.36,260.36,105.87,1,5,,,,,7803669T_046795EBR78940612,,1,0,105.87,0,260.36,0,08035-7803669T-046795EBR78940612-1,1ZA356X70341877176,82247626,1,,8976-82247626-046795EBR78940612-1,008035-098-07803669T,105.87,,RI,1
2020,22,2020-06-30,2020-06-29,08184,Royersford,7541315T,022364WB24X829,WB24X829,39.48,39.48,13.16,2,5,,,,,7541315T_022364WB24X829,,2,0,13.16,0,39.48,0,08184-7541315T-022364WB24X829-2,1ZA356X70368652537,78240880,2,,8976-78240880-022364WB24X829-2,008184-098-07541315T,13.16,,RI,4
2021,4,2021-02-24,2021-02-23,07744,Royersford,7778222T,026110WPW10547292,WPW10547292,24.60,24.60,8.01,1,5,,,,,7778222T_026110WPW10547292,,1,0,8.01,0,24.6,0,07744-7778222T-026110WPW10547292-1,1ZA356X70378811659,81600003,1,,8976-81600003-026110WPW10547292-1,007744-098-07778222T,8.01,,RI,1
